Sno,User,Rating,Review
34,Sagar Pastariya,1,there are so much bugs in the games when i am playing .the opponent player all 4 token has outside from her range. & my only token left to win inside the safe range only 2 no. is left to winning me but at the other side my 2 is not coming in dice in 20times what is these wrong if it is a randomly dice then also my token takes maximum 10-15 times but opponent is winning . please remove these bugs
35,anupama Das,1,It's a super fun way to spend time.. but do not expect to win.. over the past three days..while constantly playing somehow even though i will have just one token to take one step.. opponents who had two three tokens ends up winning.. the online game is rigged.. i understand losing sometimes... but ending the same way multiple times makes me suspicious.. anyway.. if u don't care about winning.. this is great app ! still fun to play.. but losing the same exact way continuously is boring..
36,madhuri dhawan,2,"In the beginning its amazing but once you reach a higher level or earn good amount of coins, you start losing each and every game . No matter how well you play , winning becomes almost impossible. This is disappointing as numbers dont seem to be random."
37,Saumya Jain,1,I would've given it zero stars if I had the option. The game is extremely rigged. I have consecutively lost multiple matches. It gets frustrating after a point when you know that the algorithm pre decides who is going to win the game. Would not recommend.
38,Manivannan Sathyamangalam,1,"I have already mentioned some points to show it's not a random dice. Here's another one. Say opponents gets a six initially and he comes around near my area. 98% of the time he gets another six ""after he got near my entry point but before crossing my entry point"" . So that he ll move the newly cleared piece thereby avoiding crossing my entry point. If it is random, I m sure I won't use 98% in my point. Make me clear why my online opponent is 99.5% of higher level than me?"
39,Guddu Raja,1,Worst algorithm designed by programmers. Your strategy is nothing to defeat your opponent because it is decided by the Ludo King who will be winner no matter opponent has any strategy or not. People play the game for fun that makes people happy. But Ludo King gives unnecessary stress to people who is playing well. I think it shouldn't happened.
40,Pekir Yomcha,1,"Just for the sake of competition the opponent always has the perfect no. up everytime. I don't understand that, I also want to add tha your game just makes you feel so less about yourself and makes you doubt whether you are good at all, I sincerely hate that you guys have made such a fun game suck to the utmost level, this can't get any worse, Improve it make it less predictable make it more fun, bring the original ludo back, the one that doesn't have anything to do with your money making scheme"
41,Rahul Sharma,1,"This game is not a random based. The algorithm doesn't allow me to get high numbers when required and gives me only a one. When I require only a win at match point, it gives me fours, fives and sixes which become useless. Developers need to fix this issue otherwise I have to uninstall this game for its unfairness."
42,Anantkumar Wankhade,1,"Worst ludo version guyz they people manage the game as per coins and diamonds. Once you buy something, they make win at starting then lost you to under coins. The programming is done so that you should buy coins and diamonds pack. Please download waste your precious money with this type of fraud games. You can try another ludo."
43,Jitendra Sharma,1,"Never install it ! Initially, It was good but after gaining a huge number of subscriber, they mould it for only business purpose not for entertainment. If I'd have a option for choosing for star the I give 0 star even -ve too. Game setting is so worst. Played around 30 or more game but always loose even in closer moment. Waited for mostly 1 to pass the game even after the opponent have 3 outside but opponent gets win that is much frustrating part. The worst part is waiting for 1 to pass but \U0001f62d"
44,Manish Kunder,1,It feels like you are playing with a bot instead of a person. The gameplay is devised to make you struggle till the end point. And 7 up 7 down is just a way to rip you off your coins. You will never win in that. Trust me when I say that. Instead of being a stress buster it is a stress booster.
45,Hanwant singh,1,"It just take ages to connect to it's server . I mean I'm having a really good internet speed but still it just won't connect to it's damn servers .edit-( this game is justtt trash.It clearly says login with fb and the data will be saved. And it worked fine i reinstall (because of the issue i mentioned earlier)the game several times and got my coins and theme back. But after resetting my phone. i logged in with fb account and i lost everything(100000 coin worth theme + 50000 coins).......""trash"""
46,Deep Kaur,1,Very unfair........so much disappointed ......from last 12 games opponents keeps on getting 6 on their dice......and if i manage to play opponents get exact numbers and puts me back........and sometimes even after playing very well......at the end opponents win......don't know how.......so i lose mah interest in this game.....
47,Kaustubh Khedkar,4,Great Game. Only one problem - Autoplay. Because of this I lost some games. Most often the player goes away without closing the app and the Autoplay takes over. Unfortunately due to this the player which has left wins... Doesn't make any sense. So remove the Autoplay. Also please update so that 6 players can play online
48,Prasan Nayak,1,"This app is worst gaming app ever I had played. The dice rolls are never random. This app Algorithm for dice is the worst \U0001f44e. If you will play with someone who had less coins than you Or that person who is a regular player then 99.99% chances are that you will defeat. After playing this game it really sucks. How this type of 3rd grade app is developed by it's team. So i uninstalled it. Don't download it nd play, otherwise you will loose your peace of mind. \U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e"
49,Shruti Puri,1,Very biased game.... No random roll of dice. It's all controlled depending how much coins you spend in buying themes et al. If you are not spending coins bam you will stop getting sixes on dice... All other players will reach to their destination and you will still comfortably sitting at your home. Opponents will keep taking your token and you will not get favorable numbers to take your opponent's token. Time waste. Use yalla ludo
50,AQUIB JAWED,1,The random function of this is not random. In this game it is pre-planned that who will win. Developer please make sure that you shouldn't make such stupid non-sense game. Where the player wouldn't find it interesting to play. And please re-visit your random function.
51,Shreyans Jhabak,1,"It's super pathetically designed, for some mobile you will always win and for some mobile you do what ever you can u won't win at all coz its just so awful designed, no matter how good strategy you use n play it's all waste coz it will make sure that it's just the the computer decide who will win this game."
52,Nithi Kiruba,4,It's worse becoz.... whenever i open ads for free coins..it automatically exits the app and it is get started from first...i really disappointed......but i \u2665\ufe0f to play ludo....i don't have any error in my phn....plz check this guys........................................i don't wanna disappoint u guys...but this is my problem....Moreover this is a trending app nowadays....congrats\u2665\ufe0f......i used to tell my friends about this app to install it and we play and njoyed........wishes for ur efforts...\u2665
53,Rahul Soni,1,"95% people are hackers. They hacked the game and loot us. My internet and mobile data is always on but in game it's showing no internet connection. If we didn't play we have 15-20 sec time,and 5 chances we have. But in 1 minutes all our 5 chances gone and that player won. How it is possible"
54,anu sardana,1,Such a biased game don't waste ur time to install it and I will give 0 star just hate this game it is fixed who wins every opponent get 6 on. Every roll and they get same no. what they want and when I go in their home they get no. And cut my token but when they come I don't get no. To cut token at that time I only got 1 or even 3 times I lost because I don't get one \U0001f47f\U0001f47f\U0001f47f\U0001f47f dont install it
55,Mr.SUMIT SAINI,1,When i play the mission then error occur of internet issue but on my device no internet problem.The whole things is discussed with support team but no one help me to resolve this problem and no backup provide to me. So i suggest to others don't waste our time to play this. When you are on top and error let you down then nobody help and support .Unbeleiveable i have need only one to win the game but second player have 3 dice starts from but he win and i lost that is impossible to my think
56,Mahesh,1,"biased game. player with more coins will always win and worst computerised game ever. my opponent always getting highest number and i am getting lowest number whole game. my opponent got 3 of his player win and i am still in home. i would have given negative if there was option. dont download, always prefer the original one guys, its a computerised game with computer giving you numbers."
57,MANORANJAN HEMBROM,1,absolutely not the one i used to play.it clearly appears now a days it is biased.there is no difference between ludo club and ludo king. While playing 2 players game it favours one player.( My experience) my opponent was losing and all time i was getting numbers exactly to kill my opponent. the last game i played before this rating i was losing exactly the same way as my opponent lost. THE ONLY OPTION NOW UNINSTALL .PLEASE GIVE A CHANCE TO OTHER LUDO..DO NOT INSTALL THIS HAME.
58,Divya Patel,1,"It may be the best app for ludo but to me, its not at all good because I have been losing the game. It's Totally unfair when opponents are getting sixes and fives and you get only ones and twos. They should improve the game algorithm/game design. Hence only 1 star."
59,Nimesh Kotak,2,"Suffering from don't know Technically Issues wth d APP.. Many times while playing games it Shows no internet Connection.. and I lost d games.. 1 time I have received my coins back.. but dis time.. I Need @least 1,00,000 Coins Becuz 70,000 of Entry Fees(10,000*2 n 50,000) plus 30,000 as a compensate..(2 times was thrown out of Games while I was on Winning Path).. Plz fix your Issues.. Now it's painful fun.. Also Add Quickly Note like.. ""Y I m Playing"" if all participants are out wth 6 n u r not.."
60,Sanjay sahu,1,"In 4 player game why most of the games has won by only one person, they gets more 6 and other exact numbers while playing, u can say that 8/10 game has won by only one person....whereas my and other players wining is like 2/10. Why is this happen? Or i can say that the winners is prevously decided. I request to the developer please fix these issues if u want to ramain became in top...otherwise u may loose ur position."
61,A Google user,5,"Game nice ....nice graphic color good Everything is good but. Wat I feel is when we play online match with friend and to send request there should be a option that which player is online and which player is offline and which player is playing a match or marching a group to paly a match so then we can send the request easily than we can know that o this player is online than we can paly with this player so that I feel. Nothing than that everything is good and game is marvelous,..........."
62,Shiv Siingh,1,"All facing network issues \U0001f621\U0001f621\U0001f621\U0001f621 When all the apps are running in the same network than how could your apps could show , there is no network at the same time... Seriously pissed off with this.. Someone play games on phn when they are boared... At the same time your app shoe their tantrums... Resolved it N O W !!!"
63,Ashish Saini,1,this is a worst game but since i installed this game in my smartphone ...from that time to till now ...every time i played this worst game ..in one full game ...i got 6 only 1-3 time ...on the other hand my opponents in each nd every game gets 6 more times like 10-15 . this worst game gives me 1 again and again .. why this happend ..just answer me .. its not fair
64,Hema Rawat,1,"It's total fraud game I'd say this....people don't play with a luck and with no's. Everything's pre-decided , no matter how hard you'll try u couldn't win at all.one will get thousand times 6 and what you'll get is only 1 and 2. And plus you'll never get number u need and the other person will definitely get it. Been playing this for so long but should say, hate this game!"
65,Vvk KvV,1,"Please write below your feedback / issue:  hi, the game was wrost, when I'm finish my game in that time it's Struked, and automatically the dice is moving with out my action, serioully I'm not going to suggest this game for anyone. wrost experience with this game Big cheating i hate this game don't Download \U0001f621\U0001f620"
66,sekhar shukla,1,Very poor experience. Few people gets 6 very frequently and few people just dont. Very biased game. Algorithm cant be biased. Its get very frustrating when you dont get numbers. There is some glitch in the game. Everytime it can not be luck. Hope the makers will resolve the issue and ppl will stop getting frustrated
67,Abdul Taufiq,5,"Hey, developers! I played this game and it's awesome! But below I ma mentioning some things need to be improve. It'll definitely give a new hike to your application. Allow some custom chats options, allow voice communication among players and please stop making rooms there because it makes me so irritating. Thanks \U0001f60a"
68,Shaikh Sameer,1,"Seems very biased one. The players who hav3 completed any missions will always get extra benefits during the game and probability of winning against them is too less, completing missions is always very difficult for new player, unwanted ads for purchasing coins and diamonds."
69,mohd junaid,4,Hi I'm playing this game from years & clear all stages & won 6 frames now I face problem of auto play not because of my network I think it's a problem of server hanging or hacking.. cos of that I lost so many games.. One massage for the players of ludo king plz play game like a game don't hack. Please fix it.
70,Priti Pawar,1,Intentionally game makes opponent to win. Even though I have chance to win. Worst game ever. I m going to uninstall it. Its supposed to b based on luck ... But development is totally unfair .. I don't like this game anymore .... Keep it fair else u will loose customers like m. 😠
71,Vikram Sangwan,1,"The whole point of dice game is element of ""randomness"", however there is nothing random about this game.... Entire play is algorithm controlled for the sake of excitement.... Horrible idea.... This game has nothing like Ludo game and entirely manipulated with algorithms to make it addictive. Yes, that's the point of it, to make it addictive."
72,Aakash Jain,1,Such a poor game I have ever had. How can Google Play give rating no. 1. Google Play should be aware while giving a rating and it never give equal chance to both the players one get bigger numbers and another always smaller you should improve the quality of your system.
73,Kuldeep Kamble,1,"Very disappointing. The game play is very predictive. The A.I decides a colour token\u2666\ufe0f to be won. Then for that colour, the dice will be rolled as 6-6-5 most of the time. This favoured colour token\u2666\ufe0f will get all the chances to bold other colour tokens\U0001f7e8\U0001f7e9\U0001f7e6. After this favoured coloured token\u2666\ufe0f is won 1st. Then A.I will favour another colour token\U0001f537 and give the dice rolled numbers as 6s and 5s. In the last stage of the game when only two players are remaining, A.I will create suspense\U0001f611."
74,Dipshikha Phukan,1,"It's the worst game ever.... This game is highly biased... I would have given 0 star,if there were any option for that..... In one word, the game is ""FALTU"".. ""FALTU"" at its best... And no matter how many times people complain about it, they won't give any heed to it.... Worst experience...."
75,Srinidhi M,1,"Created by absolutely novice developers, the algorithm is very predictable just to keep up with the game going. The edge cases can be unnatural in the game. Like the casino, the game is always the winner and never the player."
76,naveen saharan,1,"Totally biased game. The guy who has more coin will definitely get more sixes and atlast will win. Played continuously 30 games against the persons who have more coins, and most of them got sixes numerous times. In absence of zero star, in helplessness i have to give one star."
77,Sheeva Setoodeh,4,We have lots of fun playing this game but the only problem is that mostly you can tell who's going to win from the five first rollings. This is the biggest issue everyone has complained here so please do something about it. This game would be dreamy if you add voice messages for friends. Thanks.
78,Kavita Shukla,1,"Such a biased game. Instead of being random, it uses some f*ed up algorithm for the values. You might be needing just one, but instead it will make your opponents win. Stupid game. Destroying all the childhood memories."
79,Shifa Kausar,1,"There is something wrong with this app. Everyone can get the exact number and hit my token but when my turn comes I don't get the number, thus has happen a hundred times. Every player wins easily. Like I have lost 5 matches continously 🤬😤 Fix this jerk app."
80,anup sharma,1,I m on a platform where i have found the app wastage of time as i have been observed that those who have level 2 are defeating me where i am having 59 level... And continuously how someone can get loss all tge games... I was having 2 milion coins and i have observed while having all the tokens in my home opponents are winning with no reason likely seems for their winning. So poor..
81,Abhishek Puri,1,"Never trust the Ludo game for coins, and in this game in 7 up down in fix That your coins will take all this So Ludo game is not trustworthy at all, and in 7 up down in fix That you first win only for 1000, and 2000 coin After that you lost all coins becuase this is a fixed, I would have given this game a rating below 1 if there was an option."
82,Vivek Gajjar,2,The dice rolls in a way that it kills the player who doesn't play by the book. If you try something new you're gone. I hope you have fixed the connectivity issue in the new update. Randomize the dice algorithm to 100%. This game taught me not to make wrong move in life.
83,Harindersingh Araich,1,It's not well designed app I think because when ever u makes a big room it stops working a moment it shows internet connection error and an countdown of 60 sec appears but after a few moments of setting everything right it again stops like it seems that your android got hanged so if we sums up it let u and ur excitement to play with friends down poorly
84,ponnuvel s,1,"This game very cheeting. More than numbers of green colour but very very less than numbers of blue colour. Example ( one people start blue colour number is is 1 or 2, but next people start green colour is 6 and 6 and 6and 5 so always win for green colour selected people. Any time any time 6 and 6 and 5 but opposite blue colour choose the people 1 and 1and 1 and 2 very bad numbers"
85,Yash Verma,1,This game is clearly biased. It favours the person who have lost the past games in a row. Because they don't want to lose a player they make them win so they don't uninstall his useless game. Would have been fun if this wasn't biased!!!
86,Vijay Kumar,1,"Rubbished game that I have ever played. My experience with this game is worst. If you have free time, devote it to some other brain games. The dice is not at all random. It favors those, who make purchases of coins every time also favors the new players."
87,Arun Kumar,4,Why can't you enable voice chat ?your competitors like Ludo talent have implemented it. However your dice outcomes are in when compared to others which make the more interesting. It would be excellent if you implement voice chat.. pls to consider it and provide it ASAP.
88,Sathvik C,1,"The game which has no proper algorithm, and no idea how the dice are being hacked. Bloody if someone has more coins he/she will be the winner. Have some sence while you write code and algorithm. I'm sure some engineering dropout has smoked up and wrotr the code. Bloody anguuta chap chuts"
89,Vicky forever,1,Once you addict to this game then you can't able to win this game because am playing this game more then 1 month starting this game covering the everyone now days can't able to play my Die its was putting there way now worst to play getting irritating more now pls update new version this game.. This not computer fixing machine so update your future version its easy to install everyone. And lost more then 300k coin past weeks ago this great business for u :( making fool us all
90,Amish Shah,1,"I had a really bad experience. I had won and reached 5M coins but what happn thn i dont know. However good i play or how much I'm ahead in game, my last token will stay, i wont get the required no. on dice, n will never win,now i have no money, n never win no matter wht, even if i already have 3 tokens in home,n 1 remaining, n others hv all tokens out, i still loose. Plz take it seriously as i hv to play , coz every1 else around is playing. Plz revert n do something. Tell me if i cn do anything."
91,kishore potunuri,1,I had a worst experience with this app. Installed it for playing with friends but it's not at all connectting to server and if connected it is disconnecting after 2 minutes. I uninstalled and installed the app for 4 times but no change it made frustrated. So guys dont intsall this app.
92,meow meeow kitty,1,At first it's all fun but then. It's as if the game doesn't want you to win...my opponents keeps getting six and five while i get only one and three I don't suggest you take this game if you want a nice fun game with your friends
93,Sapna Pahwa,1,What the hell is wrong with this app.Every time I lose the game because I don't get 1 in the end the kind of frustration I feel every time I play this game.Because I know whether I'm ahead of everyone I am going to lose.And what is this When my token is ahead of opponent token he/she get exact same no. And capture my token like make your game realistic this is not at all possible in real life.If someone getting 6 they will get 6-6 till the end\U0001f624Hate this game uninstalling your app.
94,Faiq Patel,1,"Removed my previous rating after upgrade. If you are winning then you will get small numbers. If you require 1 to win, then you will get the big numbers continously and you will have to roll the dice 24 times to get 1. And they don't even reply."
95,Aishverya Jajoo,1,Don't download this game this is such a stupid game extremely biased.all the algorithms of the game work together to make an individual win. The dice itself isn't random at all. It is the most stupid game on the whole play store. Please don't make mistake of installing this stupidity on your phone.
96,Rohit naik,5,"Please add voice talk in ludo game.. one ludo company name called ""Yalla ludo"" in giving that features, so tat we can talk to opposite player.. However, in next update plz fix voice talk. So that, we can talk to each others and play ludo.. First tat feutures was In PubG..now it's in Yalla ludo. Now luking fwd in ludo king....plz fix it..."
97,bkc finance,1,Very fake game every thing is decided when we need 6 will get 1 or 2 every time.... if u earn more points u will every time loose the game for sure...pathetic game app i have ever seen will not recommend to anyone of my friend always opposite player win the game...it's irritates me a lottt
98,DIVYA ahuja,3,"Game is all good but the reason for giving 3 stars is that when your all 3 tokens are inside the home and you only need 1 to enter in the home for last token, you will definetly lose the game..1 will never come at the end. Please solve this issue...."
99,Himmat Singh Babel,1,The game disconnects from the internet after you receive and end a call. It is so frustating when the game gets disconnected in the middle. Don't know if everyone is facing this issue. But I am facing this issue on my redmi phone
100,KRISHAN GOYAL,1,It works on a fix algorithm. Mean you are going to lose every time because they want to show more and more ads to you so that you can earn some coins to play. Now it is your choise. There are a lot of ludo games on play store. Please prefer them.
101,sarika v manocha,2,"Hello guys, this is an incredibly timepass game but this game is a scripted game... it always makes you lose when you play a higher bid. It then becomes boring and then makes it wanna smash your phone. I would suggest to play some other game rather than this."
102,Gulafsha Praveen,3,"Hello, everybody loves to play ludo king undoubtedly it is awesome app made by developer,but as a user my experience is, it takes too long on splash screen for first and second screen...this is not encourageous so.. kindly give attention to that.Otherwise i enjoyed alot.Thanks:)"
103,Sachin Chaudhary,5,Ludo King is better than all other Ludo Apps. Simple and well defined structure i.e quite user friendly. Great efforts by Gametion team. My request : 5p & 6p option are available in offline mode - if you can open/make 5p option in play with friends(online mode).
104,Faith Garry,1,Algorithm sucks most of the time it supports new players to make them addicted mark my words devs improve it or see your app getting worst reviews day by day when you are about to win alorithm gona give you small numbers and your opponents gona get 5-6 and when your at final game gona stuck at 1 to make it look tough competition and when the lossing player is also near you he gona get big no.s
105,Gaurav Chaudhari,1,"Dear team, First of all great game made by you guys... Secondly it has started to be become predicatble like you have advantage initially and at the end picture is turned around. Thirdly now its like the game itself doesnt wants me to win straight more than 15 losses .... and in all games i was the closest to win.... this is not going through experience or anything as i have read other comments... but it sometimes feels like its determined at the end by the algorithm. PATHETIC NOW"
106,nikhil jc,3,"Lot of times if you need one(1) to win the game , it takes more than 10 turns,is that that difficult to get one at last satges,and some times it wont get more than one(1) ,while you are at enemy place(i seen lot of times).... Include voice chat..."
107,Pragaspathi SP,1,It's totally waste of time. They only decided the player who's gonna a win. U can't win continuosly. If they decided to u loss they give a big numbers to your opponent I realised it many times. It's wasted my time and it makes me irritating and disappointed.
108,Krishna CHaitanya,1,"Everytime you play a multiplayer online.this game just becomes so one sided.i just win so easy or Iose so easy.your dices and developers just suck.People play any game to win,fun and get some confidence out of it but this game and algos was designed by drunk douche.how come somebody win a game by having six consecutive 6's and I all I get is 1's.i hate it even if I get 6 6's in a row.t's just a useless game with stupid alogorithms.i am uninstalling it asap.FU game designers.not interesting atall"
109,syednadeem uddin,1,After seeing all the reviews I have also faced the similar scenario.. Of not getting the exact dice til your opponent who just started he will reach the home but i won't get 1 roll.. Looks like some opponent algorithm your roll will be... And it's not random developers
